Code	Compound	Type	Function	Definition
F1	Cellulose	Degradation	Dietary carbohydrate degradation	(3.2.1.4,3.2.1.176,3.2.1.132,3.2.1.73) (3.2.1.176,3.2.1.4,3.2.1.14) (1.14.99.54,1.14.99.56,1.14.99.53) (1.14.99.54,1.14.99.53) 1.14.99.54 (1.14.99.54,1.14.99.56) (1.14.99.54,1.14.99.56,1.14.99.53) (3.2.1.4,3.2.1.8,3.2.1.21,3.2.1.25,3.2.1.45,3.2.1.58,3.2.1.73,3.2.1.74,3.2.1.75,3.2.1.78,3.2.1.91,3.2.1.104,3.2.1.123,3.2.1.132,3.2.1.149,3.2.1.151,3.2.1.164,3.2.1.168,3.2.1.73,3.2.1.39,3.2.1.52,3.2.1.132,3.2.1.146) (3.2.1.4,3.2.1.91) (3.2.1.4,3.2.1.176,3.2.1.132,3.2.1.73) (3.2.1.132,3.2.1.4,3.2.1.73,3.2.1.8,3.2.1.156) (3.2.1.4,3.2.1.6,3.2.1.21,3.2.1.73,3.2.1.74,3.2.1.91,3.2.1.151,3.2.1.165) (3.2.1.8,3.2.1.32,3.2.1.4) 3.2.1.4 (3.2.1.4,3.2.1.151,3.2.1.73,2.4.1.207) (3.2.1.4,3.2.1.151) (3.2.1.4,3.2.1.151,3.2.1.78) (3.2.1.4,3.2.1.8,3.2.1.21,3.2.1.25,3.2.1.45,3.2.1.58,3.2.1.73,3.2.1.74,3.2.1.75,3.2.1.78,3.2.1.91,3.2.1.104,3.2.1.123,3.2.1.132,3.2.1.149,3.2.1.151,3.2.1.164,3.2.1.168,3.2.1.73,3.2.1.39,3.2.1.52,3.2.1.132,3.2.1.146) (3.2.1.4,3.2.1.91) (3.2.1.4,3.2.1.176,3.2.1.132,3.2.1.73) (3.2.1.132,3.2.1.4,3.2.1.73,3.2.1.8,3.2.1.156) (3.2.1.4,3.2.1.6,3.2.1.21,3.2.1.73,3.2.1.74,3.2.1.91,3.2.1.151,3.2.1.165) (3.2.1.8,3.2.1.32,3.2.1.4) 3.2.1.4 (3.2.1.4,3.2.1.151,3.2.1.73,2.4.1.207) (3.2.1.4,3.2.1.151) (3.2.1.4,3.2.1.151,3.2.1.78)
F2	Xyloglucan	Degradation	Dietary carbohydrate degradation	(3.2.1.4,3.2.1.8,3.2.1.21,3.2.1.25,3.2.1.45,3.2.1.58,3.2.1.73,3.2.1.74,3.2.1.75,3.2.1.78,3.2.1.91,3.2.1.104,3.2.1.123,3.2.1.132,3.2.1.149,3.2.1.151,3.2.1.164,3.2.1.168,3.2.1.73,3.2.1.39,3.2.1.52,3.2.1.132,3.2.1.146) (3.2.1.4,3.2.1.6,3.2.1.21,3.2.1.73,3.2.1.74,3.2.1.91,3.2.1.151,3.2.1.165) (3.2.1.4,3.2.1.151,3.2.1.73,2.4.1.207) (2.4.1.207,3.2.1.103,3.2.1.39,3.2.1.6,3.2.1.73,3.2.1.81,3.2.1.83,3.2.1.151,3.2.1.181,3.2.1.178,3.2.1.35,3.2.1.181) (3.2.1.4,3.2.1.151) (3.2.1.4,3.2.1.151,3.2.1.78) (3.2.1.176,3.2.1.4,3.2.1.14) (3.2.1.4,3.2.1.150,3.2.1.151) (1.14.99.54,1.14.99.56) (3.2.1.20,3.2.1.22,3.2.1.24,3.2.1.84,3.2.1.48,3.2.1.10,3.2.1.177,4.2.2.13,2.4.1.161) (3.2.1.37,3.2.1.55,3.2.1.8,3.2.1.99,3.2.1.145,3.2.1.146) (3.2.1.8,3.2.1.32,3.2.1.4) (3.2.1.23,3.2.1.25,3.2.1.31,3.2.1.55,3.2.1.152,3.2.1.165,3.2.1.37,3.2.1.146)
F3	Starch	Degradation	Dietary carbohydrate degradation	(3.2.1.1,3.2.1.41,2.4.1.19,3.2.1.54,3.2.1.93,3.2.1.10,3.2.1.133,3.2.1.135,3.2.1.20,3.2.1.60,3.2.1.68,3.2.1.70,3.2.1.98,3.2.1.116,2.4.1.18,5.4.99.16,2.4.1.25,2.4.1.4,2.4.1.7,3.2.1.141,5.4.99.11,5.4.99.15,3.2.1.33,2.4.99.16) 3.2.1.2 (3.2.1.1,3.2.1.22,3.2.1.41,3.2.1.54,2.4.1.18,2.4.1.25) 3.2.1.1 3.2.1.33 (3.2.1.3,3.2.1.70,3.2.1.28,2.4.1.2) (3.2.1.3,3.2.1.20,3.2.1.22)
F4	Chitin	Degradation	Dietary carbohydrate degradation	(3.2.1.14,3.2.1.17,3.2.1.96) (3.2.1.14,3.2.1.17) (3.2.1.17,4.2.2.n1,3.2.1.14) (3.2.1.17,3.2.1.96) (3.2.1.52,3.2.1.140) (3.2.1.21,3.2.1.37,3.2.1.45,3.2.1.52,3.2.1.55,3.2.1.58,3.2.1.74,3.2.1.120,3.2.1.126) (3.2.1.4,3.2.1.8,3.2.1.21,3.2.1.25,3.2.1.45,3.2.1.58,3.2.1.73,3.2.1.74,3.2.1.75,3.2.1.78,3.2.1.91,3.2.1.104,3.2.1.123,3.2.1.132,3.2.1.149,3.2.1.151,3.2.1.164,3.2.1.168,3.2.1.73,3.2.1.39,3.2.1.52,3.2.1.132,3.2.1.146) (3.2.1.52,3.2.1.35,3.2.1.169) (3.2.1.21,3.2.1.37,3.2.1.45,3.2.1.52) (1.14.99.54,1.14.99.56,1.14.99.53) (1.14.99.54,1.14.99.53) (3.1.1.72,3.5.1.41)
F5	Pectin	Degradation	Dietary carbohydrate degradation	(3.2.1.15,3.2.1.40,3.2.1.67,3.2.1.82,3.2.1.171,3.2.1.173) (4.2.2.2,4.2.2.9,4.2.2.10) (4.2.2.2,4.2.2.9) (4.2.2.2,4.2.2.9) 4.2.2.2 (4.2.2.23,4.2.2.24) 4.2.2.6 4.2.2.24 4.2.2.23 (3.2.1.40,3.2.1.174) 3.2.1.173 3.1.1.11 3.2.1.172 (3.2.1.122,3.2.1.20,3.2.1.22,3.2.1.86,3.2.1.139,3.2.1.67) 3.1.1.72 (3.2.1.23,3.2.1.25,3.2.1.31,3.2.1.55,3.2.1.152,3.2.1.165,3.2.1.37,3.2.1.146)
F6	Alpha galactan	Degradation	Dietary carbohydrate degradation	3.2.1.49 (3.2.1.22,3.2.1.49,3.2.1.94,3.2.1.88) 3.2.1.22 (3.2.1.122,3.2.1.20,3.2.1.22,3.2.1.86,3.2.1.139,3.2.1.67) (3.2.1.20,3.2.1.22,3.2.1.24,3.2.1.84,3.2.1.48,3.2.1.10,3.2.1.177,4.2.2.13,2.4.1.161) (3.2.1.22,3.2.1.49,2.4.1.67,2.4.1.82) (3.2.1.3,3.2.1.20,3.2.1.22)
F7	Beta-galactan	Degradation	Dietary carbohydrate degradation	3.2.1.89 (3.2.1.23,3.2.1.25,3.2.1.31,3.2.1.55,3.2.1.152,3.2.1.165,3.2.1.37,3.2.1.146) (3.2.1.23,3.2.1.165) 3.2.1.23 (3.2.1.21,3.2.1.23,3.2.1.25,3.2.1.31,3.2.1.37,3.2.1.38,3.2.1.62,3.2.1.74,3.2.1.85,3.2.1.86,3.2.1.105,3.2.1.108,3.2.1.117,3.2.1.118,3.2.1.119,3.2.1.125,3.2.1.147,3.2.1.149,3.2.1.161,3.2.1.175,3.2.1.182) (3.2.1.23,3.2.1.46)
F8	Mixed-Linkage glucans	Degradation	Dietary carbohydrate degradation	3.2.1.71 (3.2.1.8,3.2.1.31,3.2.1.37,3.2.1.38,3.2.1.45,3.2.1.75,3.2.1.136) (3.2.1.39,3.2.1.58,3.2.1.73,3.2.1.175) (3.2.1.4,3.2.1.176,3.2.1.132,3.2.1.73) (3.2.1.132,3.2.1.4,3.2.1.73,3.2.1.8,3.2.1.156) (3.2.1.4,3.2.1.6,3.2.1.21,3.2.1.73,3.2.1.74,3.2.1.91,3.2.1.151,3.2.1.165) (3.2.1.4,3.2.1.8,3.2.1.21,3.2.1.25,3.2.1.45,3.2.1.58,3.2.1.73,3.2.1.74,3.2.1.75,3.2.1.78,3.2.1.91,3.2.1.104,3.2.1.123,3.2.1.132,3.2.1.149,3.2.1.151,3.2.1.164,3.2.1.168,3.2.1.73,3.2.1.39,3.2.1.52,3.2.1.132,3.2.1.146) (3.2.1.58,3.2.1.39) 3.2.1.39 (3.2.1.21,3.2.1.37,3.2.1.45,3.2.1.52,3.2.1.55,3.2.1.58,3.2.1.74,3.2.1.120,3.2.1.126) (2.4.1.207,3.2.1.103,3.2.1.39,3.2.1.6,3.2.1.73,3.2.1.81,3.2.1.83,3.2.1.151,3.2.1.181,3.2.1.178,3.2.1.35,3.2.1.181) (3.2.1.39,3.2.1.58,3.2.1.73,3.2.1.175) (3.2.1.58,3.2.1.39) (3.2.1.21,3.2.1.23,3.2.1.25,3.2.1.31,3.2.1.37,3.2.1.38,3.2.1.62,3.2.1.74,3.2.1.85,3.2.1.86,3.2.1.105,3.2.1.108,3.2.1.117,3.2.1.118,3.2.1.119,3.2.1.125,3.2.1.147,3.2.1.149,3.2.1.161,3.2.1.175,3.2.1.182)
F9	Xylans	Degradation	Dietary carbohydrate degradation	(3.2.1.8,3.2.1.32,3.2.1.4) (3.2.1.78,3.2.1.100,3.2.1.32,3.2.1.73) (3.2.1.132,3.2.1.4,3.2.1.73,3.2.1.8,3.2.1.156) (3.2.1.4,3.2.1.8,3.2.1.21,3.2.1.25,3.2.1.45,3.2.1.58,3.2.1.73,3.2.1.74,3.2.1.75,3.2.1.78,3.2.1.91,3.2.1.104,3.2.1.123,3.2.1.132,3.2.1.149,3.2.1.151,3.2.1.164,3.2.1.168,3.2.1.73,3.2.1.39,3.2.1.52,3.2.1.132,3.2.1.146) (3.2.1.8,3.2.1.32) (3.2.1.8,3.2.1.31,3.2.1.37,3.2.1.38,3.2.1.45,3.2.1.75,3.2.1.136) (3.2.1.102,3.2.1.8,3.2.1.8) (3.2.1.51,3.2.1.8) (3.2.1.76,3.2.1.37) (3.2.1.21,3.2.1.37,3.2.1.45,3.2.1.52,3.2.1.55,3.2.1.58,3.2.1.74,3.2.1.120,3.2.1.126) (3.2.1.20,3.2.1.22,3.2.1.24,3.2.1.84,3.2.1.48,3.2.1.10,3.2.1.177,4.2.2.13,2.4.1.161) 3.2.1.37 (3.2.1.139,3.2.1.131)
F10	Beta-mannan	Degradation	Dietary carbohydrate degradation	3.2.1.78 (3.2.1.78,3.2.1.100,3.2.1.32,3.2.1.73) (3.2.1.4,3.2.1.8,3.2.1.21,3.2.1.25,3.2.1.45,3.2.1.58,3.2.1.73,3.2.1.74,3.2.1.75,3.2.1.78,3.2.1.91,3.2.1.104,3.2.1.123,3.2.1.132,3.2.1.149,3.2.1.151,3.2.1.164,3.2.1.168,3.2.1.73,3.2.1.39,3.2.1.52,3.2.1.132,3.2.1.146) (3.2.1.78,3.2.1.100,3.2.1.32,3.2.1.73) (2.4.1.281,2.4.1.319,2.4.1.320) 3.2.1.78 3.1.1.72 (3.2.1.23,3.2.1.25,3.2.1.31,3.2.1.55,3.2.1.152,3.2.1.165,3.2.1.37,3.2.1.146)
