"Gene"	"CC02.17F1a"	"CC06.09F1a"	"CB21.03F1a"	"CC03.15F1a"	"CB05.15F1a"	"CC20.13F1a"	"CB07.01F1a"	"CB20.13F1a"
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_1"	0	1	2	0	0	0	2	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_2"	0	0	4	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_3"	0	2	4	0	0	0	5	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_4"	0	1	1	0	0	0	2	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_5"	0	11	12	1	0	0	21	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_6"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_7"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_8"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_9"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_10"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_11"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_12"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_13"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_14"	0	0	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_15"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_16"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_17"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_18"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_19"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_20"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_21"	0	1	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_22"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_23"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_24"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_25"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_26"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_27"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_28"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_29"	0	1	2	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_30"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_31"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_32"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_33"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_34"	0	0	3	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_35"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_36"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_37"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_38"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_39"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_40"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_41"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_42"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_43"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_44"	0	1	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_45"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_46"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_47"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_48"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_49"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_50"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_51"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_52"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_53"	0	0	2	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_54"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_55"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_56"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_57"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_58"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_59"	0	0	2	0	0	0	2	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_60"	0	0	3	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_61"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_62"	0	0	1	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_63"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_64"	0	0	1	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_65"	0	0	2	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_66"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_67"	0	0	0	0	0	0	0	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_68"	0	0	0	0	0	0	1	0
"ERR4835994_bin.4_NODE_9_length_167914_cov_13.281582_69"	0	0	0	0	0	0	0	0
