Genome	Completeness	Contamination
ERR4304450bin.69	100	0.158
ERR4835994_bin.4	96.42	1.608
ERR4836887_bin.54	97.27	0.113
ERR4836889_bin.9	89.77	0.561
ERR4836908_bin.60	94.42	0
ERR4836949_bin.36	96.55	0.223
ERR4968581_bin.26	98.88	0.17
ERR4968588_bin.12	98.27	0.722
